title,platform,metascore,userscore,genre,date
Warframe,PlayStation 5,85.0,69.0,action,2020-11-26
QV,Switch,74.0,70.8,action,2020-11-26
Tesla Force,PlayStation 5,67.0,70.8,action,2020-11-24
Hyrule Warriors: Age of Calamity,Switch,78.0,70.8,action,2020-11-20
Bubble Bobble 4 Friends: The Baron is Back,PlayStation 4,75.0,70.8,action,2020-11-17
Sniper Elite 4,Switch,79.0,70.8,action,2020-11-17
Mortal Kombat 11 Ultimate,PlayStation 4,90.0,71.0,action,2020-11-17
Mortal Kombat 11 Ultimate,PlayStation 5,88.0,70.8,action,2020-11-17
Mortal Kombat 11 Ultimate,Xbox Series X,88.0,70.8,action,2020-11-17
Mortal Kombat 11 Ultimate,PC,91.0,69.0,action,2020-11-17
Pac-Man: Mega Tunnel Battle,Stadia,67.0,70.8,action,2020-11-17
Halo: The Master Chief Collection - Halo 4,PC,84.0,70.8,action,2020-11-17
Call of Duty: Black Ops Cold War,Xbox Series X,76.0,70.8,action,2020-11-13
Call of Duty: Black Ops Cold War,PlayStation 5,76.0,70.8,action,2020-11-13
Exit the Gungeon,Xbox One,78.0,70.8,action,2020-11-13
Kingdom Hearts: Melody of Memory,PlayStation 4,74.0,73.0,action,2020-11-13
Kingdom Hearts: Melody of Memory,Xbox One,75.0,73.0,action,2020-11-13
Kingdom Hearts: Melody of Memory,Switch,79.0,70.8,action,2020-11-13
Call of Duty: Black Ops Cold War,PlayStation 4,76.0,70.8,action,2020-11-13
Call of Duty: Black Ops Cold War,PC,76.0,70.8,action,2020-11-13
Let's Sing 2021,PlayStation 4,66.0,70.8,action,2020-11-13
Let's Sing 2021,Xbox One,78.0,70.8,action,2020-11-13
Sackboy: A Big Adventure,PlayStation 5,79.0,70.8,action,2020-11-12
Astro's Playroom,PlayStation 5,83.0,70.8,action,2020-11-12
Bugsnax,PlayStation 5,75.0,70.8,action,2020-11-12
Bugsnax,PlayStation 4,79.0,70.8,action,2020-11-12
Bugsnax,PC,72.0,70.8,action,2020-11-12
Just Dance 2021,Switch,70.0,61.0,action,2020-11-12
Borderlands 3,PlayStation 5,91.0,74.0,action,2020-11-12
Sackboy: A Big Adventure,PlayStation 4,83.0,70.8,action,2020-11-12
Destiny 2: Beyond Light,Xbox Series X,71.0,55.0,action,2020-11-10
